                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1603,                0.61934,                0.87137,                0.93422,                0.74153,                0.79151,                0.59059,                 1.1356,                0.61912,                0.87841,               0.005908,               0.005908,               0.005908
                     64,                 1.2072,                0.63382,                0.87307,                0.93457,                0.74515,                0.79704,                0.59454,                 1.1402,                0.62195,                0.87583,               0.005842,               0.005842,               0.005842
                     65,                 1.1865,                0.62431,                0.87016,                0.92435,                0.73851,                0.78523,                0.59046,                 1.1274,                0.62692,                 0.8753,               0.005776,               0.005776,               0.005776
                     66,                 1.1679,                0.61257,                0.86812,                0.93443,                0.69962,                0.77899,                0.58222,                 1.1499,                 0.6317,                 0.8791,                0.00571,                0.00571,                0.00571
                     67,                 1.1542,                0.61337,                0.87042,                 0.9209,                0.74322,                0.78848,                0.59635,                 1.1231,                0.61538,                0.87318,               0.005644,               0.005644,               0.005644
                     68,                 1.1674,                0.61739,                0.86887,                0.93585,                0.72998,                0.78044,                0.58657,                 1.1262,                0.62048,                0.87414,               0.005578,               0.005578,               0.005578
                     69,                 1.1536,                0.60807,                0.86893,                0.92489,                0.73749,                0.78436,                 0.5967,                   1.11,                0.61973,                0.87478,               0.005512,               0.005512,               0.005512
                     70,                 1.1674,                0.61416,                0.86895,                0.94542,                0.74044,                0.78563,                0.58885,                 1.1239,                0.62291,                0.87425,               0.005446,               0.005446,               0.005446
                     71,                 1.1568,                0.60976,                0.86533,                0.91413,                0.74713,                0.79555,                0.59051,                 1.1362,                0.61689,                0.87397,                0.00538,                0.00538,                0.00538
                     72,                 1.1458,                0.60391,                0.86636,                0.92976,                 0.7479,                0.79507,                0.58824,                 1.1115,                0.61457,                0.87202,               0.005314,               0.005314,               0.005314
                     73,                 1.1665,                0.61288,                0.86557,                0.93695,                0.75311,                0.79259,                0.59853,                 1.1258,                0.60715,                0.87381,               0.005248,               0.005248,               0.005248
                     74,                 1.1363,                0.59898,                0.86424,                0.91546,                0.74753,                 0.7942,                0.58149,                 1.1227,                0.61327,                0.87379,               0.005182,               0.005182,               0.005182
                     75,                 1.1349,                0.59363,                0.86264,                0.92264,                0.74766,                 0.8107,                0.59235,                 1.1209,                0.61315,                0.87326,               0.005116,               0.005116,               0.005116
                     76,                 1.1322,                0.59282,                0.86218,                0.93743,                0.74561,                 0.8131,                0.60421,                  1.099,                0.60293,                0.86843,                0.00505,                0.00505,                0.00505
                     77,                 1.1107,                0.58561,                0.86132,                0.94412,                0.74587,                0.80413,                0.59275,                 1.1117,                0.60721,                0.87182,               0.004984,               0.004984,               0.004984
                     78,                 1.1171,                0.58541,                0.86098,                 0.9413,                0.73775,                0.79367,                0.60817,                 1.0954,                0.60863,                0.86888,               0.004918,               0.004918,               0.004918
                     79,                 1.1036,                0.58389,                0.86151,                 0.9331,                0.73965,                0.78846,                0.60129,                 1.1008,                0.61421,                0.86944,               0.004852,               0.004852,               0.004852
